Professor,Dia,Turno,Horário,Disciplina
Prof 7,Sexta,M,1,Tópicos em Ciência de Dados (Optativas - 3º período)
Prof 7,Sexta,M,2,Tópicos em Ciência de Dados (Optativas - 3º período)
Prof 7,Sexta,M,3,Tópicos em Ciência de Dados (Optativas - 3º período)
Prof 7,Sexta,M,4,Tópicos em Ciência de Dados (Optativas - 3º período)
Prof 7,Sexta,M,5,livre
Prof 7,Sexta,T,1,livre
Prof 7,Sexta,T,2,livre
Prof 7,Sexta,T,3,livre
Prof 7,Sexta,T,4,livre
Prof 7,Sexta,T,5,livre
Prof 7,Sexta,N,1,livre
Prof 7,Sexta,N,2,livre
Prof 7,Sexta,N,3,livre
Prof 7,Sexta,N,4,livre
Prof 7,Sexta,N,5,livre
Prof 8,Segunda,M,1,Engenharia de Software II (CCO - 5º período)
Prof 8,Segunda,M,2,Engenharia de Software II (CCO - 5º período)
Prof 8,Segunda,M,3,Engenharia de Software II (CCO - 5º período)
Prof 8,Segunda,M,4,Engenharia de Software II (CCO - 5º período)
Prof 8,Segunda,M,5,livre
Prof 8,Segunda,T,1,livre
Prof 8,Segunda,T,2,livre
Prof 8,Segunda,T,3,livre
Prof 8,Segunda,T,4,livre
Prof 8,Segunda,T,5,livre
Prof 8,Segunda,N,1,Engenharia de Software II (SIN - 3º período)
Prof 8,Segunda,N,2,Engenharia de Software II (SIN - 3º período)
Prof 8,Segunda,N,3,livre
Prof 8,Segunda,N,4,livre
Prof 8,Segunda,N,5,livre
Prof 8,Terça,M,1,livre
Prof 8,Terça,M,2,livre
Prof 8,Terça,M,3,livre
Prof 8,Terça,M,4,livre
Prof 8,Terça,M,5,livre
Prof 8,Terça,T,1,livre
Prof 8,Terça,T,2,livre
Prof 8,Terça,T,3,livre
Prof 8,Terça,T,4,livre
Prof 8,Terça,T,5,livre
Prof 8,Terça,N,1,Engenharia de Software II (SIN - 3º período)
Prof 8,Terça,N,2,Engenharia de Software II (SIN - 3º período)
Prof 8,Terça,N,3,livre
Prof 8,Terça,N,4,livre
Prof 8,Terça,N,5,livre
Prof 8,Quarta,M,1,livre
Prof 8,Quarta,M,2,livre
Prof 8,Quarta,M,3,livre
Prof 8,Quarta,M,4,livre
